ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B0BHSRXS2T,(5+5) Powder Puff Makeup Sponge Blender Beauty Face Triangle Makeup Cosmetic Puff Latext-free Makeup Wedge Foundation Sponge Blender to Make Up Tools Applicator Sponges (black),YEOTWIN,Beauty & Personal Care,"$9,073.02","1,298",$6.99,$4.10,$2.89,"10,521",987,6,1,04/25/2023,Amazon,4.5,"5.43"" x 4.65"" x 2.20""",Large standard-size,2.15 lbs
B08CMVXB19,(6Pack) MAX Makeup Cherimoya Lip Polish Coconut Oil Clear Gloss (2Original+2Coconut+2Honey),Cherimoya,Beauty & Personal Care,"$11,757.78","1,574",$7.90,$3.52,$4.38,"10,332",2299.2,6,9,10/29/2019,Amazon,4.4,"4.65"" x 4.37"" x 0.67""",Small standard-size,5.29 lbs
B0BGLT253H,1 Box of Flat Back Pearls Kits Half Round White&Beige Pearls with Quick Dry Makeup Glue+Picker Pencil+Tweezer for Nail Art and Face Eye Body Make-up,BELLEBOOST,Beauty & Personal Care,"$192,948.83","25,317",$7.99,$3.40,$4.59,N.A.,592.7272727,7,1,09/14/2023,Amazon,4.572727273,"6.97"" x 3.70"" x 0.55""",Small standard-size,2.4 lbs
B09FJHHC3G,1 pcs Liquid Eyeliner Set Glitter Liquid Eyeliner Waterproof Shimmer Silver Gold Metallic Colorful Eyeliners Eyeshadow Makeup 1#,Emirde,Beauty & Personal Care,"$5,089.80","1,020",$4.99,$3.32,$1.67,"14,050",876,7,1,08/22/2020,Emirde,4.1,"0.55"" x 0.67"" x 3.27""",Small standard-size,0.0397 lbs
B0BNCH3XCY,1.5-6mm Round Flatback Face Gems Kit (AB) for Makeup with Quick Dry Glue + Brush + Tweezer  Nail Art Rhinestones Iridescent Glass Crystal Beads for Make-up Deco,BELLEBOOST,Beauty & Personal Care,"$16,059.90","2,010",$7.99,N.A.,N.A.,"14,449",401.8181818,7,1,10/20/2022,Amazon,4.609090909,N.A.,N.A.,N.A.
B0CH4216Q1,10 Colors Eyeshadow Palette Matte Nude Shimmer Matte Eye Makeup Palette High Pigmented  Naturing-Looking  Ultra-Blendable Long Lasting Eyeshadow with 3 Eyeshadow Brush(02# Sunset),Sulily,Beauty & Personal Care,"$11,132.64","1,296",$8.59,$3.61,$4.98,"14,413",967,7,1,11/03/2022,Amazon,4,"6.77"" x 3.62"" x 0.67""",Small standard-size,3.21 lbs
B07DWCZ4B1,10 Colors Liquid Glitter Eyeliner Metallic Shimmer Glitter Eyeshadow Pigment Eyebrown Shimmer Waterproof Face Lips Art for Party Festival Makeup,BestLand,Beauty & Personal Care,"$15,904.08","1,592",$9.99,$3.72,$6.27,"9,516",6553,6,2,07/31/2018,Amazon,4.1,"5.10"" x 3.10"" x 0.39""",Small standard-size,3.84 lbs
B07D3C3QVY,10 ML Quick Dry - Cosmetic Glitter Glue - Electric Bliss Beauty - Face & Body Chunky Glitter Glue Adhesive Body Cosmetic Makeup,Electric Bliss Beauty,Beauty & Personal Care,"$16,853.75","2,425",$6.95,$3.48,$3.47,"7,423",7930.478261,6,1,08/31/2018,Amazon,4.7,"4.00"" x 3.00"" x 0.10""",Small standard-size,0.06 lbs
B0CC531J3H,10 Pack Facial Sponge for Daily Cleansing and Gentle Exfoliating - Buff Puff Style Exfoliating Pads for Removing Dead Skin  Dirt and Makeup - Reusable Puf  Made in The USA,IMPRESA,Beauty & Personal Care,"$157,514.29","9,271",$16.99,$5.47,$11.52,"1,968",14658,6,1,09/17/2018,Amazon,4.5,"4.00"" x 2.75"" x 0.75""",Small standard-size,0.63 lbs
B09YRDR7KV,10 Pcs Powder Puff Face Makeup Soft Beauty Triangle Velour Puffs with Strap Under Eye Contouring Body Loose Cosmetic Foundation Sponge Wet Dry Powder Puffs Applicator Setting Tool (Black Rose Red),BrainKer,Beauty & Personal Care,"$6,577.02","1,098",$5.99,$4.02,$1.97,"14,394",1845.466667,6,1,07/17/2022,Amazon,4.7,"5.91"" x 5.04"" x 1.34""",Large standard-size,0.63 lbs
