ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Date First Available,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B0BN77V7RR,(60 Pcs) Fidget Toys Fidgets Sensory Toys Pop Its It Party Favors Figette Toy Pack Bulk Box Stress Autism Autistic for Kids Children Boys Girls Adults Gifts Set Mini Carnival Treasure Classroom Prizes,TOMTY,Toys & Games,"$24,167.60","1,240",$19.49,N.A.,N.A.,"11,003",1291,7,6,11/27/2022,Amazon,4.7,N.A.,N.A.,N.A.
B0BY3M4469,(6PCS) Magnetic Rings Fidget Toy Set  Idea ADHD Fidget Toys  Adult Fidget Magnets Spinner Rings for Anxiety Relief Therapy  Fidget Pack Great Gift for Adults Teens Kids,Finger Rock,Toys & Games,"$98,219.19","5,781",$9.99,$6.09,$3.90,"1,329",7672.8,7,1,02/06/2021,Amazon Warehouse,4.2,"0.87"" x 4.92"" x 4.96""",Large standard-size,0.1543 lbs
B09924V7RZ,(Butterfly Fairy Female Gift) Rainbow Pop Fidget Sensory Toy  Pop Bubble Sensory Fidget Toy Human Turtle Butterfly Fairy Bubble Sensory Fidget Toys,Roaqua,Toys & Games,"$15,622.20","1,980",$7.89,$4.72,$3.17,"6,282",68,7,1,04/26/2021,newwaalf,4.7,"1.34"" x 2.60"" x 4.25""",Large standard-size,0.1279 lbs
B0CD2BKR5D,1 Year Old Boy Girl Gifts  2 in 1 Toddler Musical Mat Keyboard & Drum  Early Educational Learning Musical Toy Piano Mat for Toddlers 1-3  First Birthday Gifts for 1 2 Year Old Girls Boys Presents,Tsomtto,Toys & Games,"$45,842.06","1,994",$22.99,N.A.,N.A.,N.A.,95,7,1,08/02/2023,Amazon,4.5,N.A.,N.A.,N.A.
B0CBBJJQRK,1/20 Construction Bulldozer Toy - Kids Toy Engineering Digger Truck  Remote Control Hydraulic Toy Car for 6 7 8 9 Year Old Boys Girls  Beginner Car Tractor Vehicle Birthday Gifts for Kids,MQDMINI,Toys & Games,"$59,951.50","2,447",$24.15,N.A.,N.A.,"4,501",83,7,2,02/23/2023,Amazon,4.1,N.A.,N.A.,N.A.
B0B8D4JZN4,10 in 1 STEM Toys for 5 6 7 8+ Year Old Boy Birthday Gifts Building Toys for Kids Ages 4-8 5-7 6-8 Educational Stem Activities Robot Toy for Boys 4-6 4-7 Build and Play Construction Set Creative Games,Tsomtto,Toys & Games,"$101,786.06","3,394",$29.99,N.A.,N.A.,"3,664",282,7,1,09/18/2022,Amazon Warehouse,4.6,N.A.,N.A.,N.A.
B0CKL8P21B,100 Magnetic Pixel Cubes World Pack Edition Magnet STEM Montessori Stacking Toys for Toddlers Construction Toy Fidget Building Cube Boys Girls Ages 3+ Blocks,BrainSpark,Toys & Games,"$128,978.50","2,150",$59.99,N.A.,N.A.,N.A.,91,7,1,06/03/2023,Amazon,3.9,N.A.,N.A.,N.A.
B0C65NLBD7,100 Pack Multicolor Mini Rubber Duck Bath Toy Colored Little Ducks,EKisemio,Toys & Games,"$76,431.09","4,391",$17.49,N.A.,N.A.,N.A.,465,6,1,07/22/2022,Amazon,4.6,N.A.,N.A.,N.A.
B0BR59PTLD,100 Pack Rubber Ducks in Bulk BOZILY Rubber Ducks Jeep Ducking Jeep Ducks for Ducking Assorted Rubber Ducks Bulk Shower Swimming Bath Toy(100 Pack),BOZILY,Toys & Games,"$59,145.21","1,479",$32.99,N.A.,N.A.,"5,640",217.5,7,1,02/18/2023,Amazon,4.7,N.A.,N.A.,N.A.
B0BZ8ZK4DS,100 Pcs Airplane Stickers for Kids - Aircraft and Helicopter Stickers and Decals - Airplane Birthday  Airplane Party Supplies - Airplane Gifts  Airplane Related Gifts - Kids Airplane Toy,BulbaCraft,Toys & Games,"$72,069.80","9,020",$8.49,N.A.,N.A.,145,705.5,7,1,05/22/2022,Amazon,4.45,N.A.,N.A.,N.A.
B0C3HBCDT2,100 PCS Cutting Play Food Toy for Kids Kitchen  Pretend Food Toys for Toddlers  Play Kitchen Toys Accessories with 2 Baskets  Fake Food/Fruit/Vegetable  Birthday Gifts for 2 3 4 5 Years Old Boys Girls,Shemira,Toys & Games,"$75,604.79","2,521",$29.99,N.A.,N.A.,"5,203",65,7,1,07/14/2023,Amazon Warehouse,4.4,N.A.,N.A.,N.A.
B0C6DCSJR2,100 pcs Fidget Toys Pack  Party Favors For Kids 8-12 Mini Autism Sensory Toy Goodie Bag Pinata Stuffers Treasure Box School Prizes Birthday Party Supplies Halloween Treat Xmas Gifts For Boys Girls 4-8,fyjous,Toys & Games,"$43,478.25","2,175",$19.99,N.A.,N.A.,"6,372",56,7,1,06/21/2023,Amazon,4.4,N.A.,N.A.,N.A.
